122,QSP,Quantstamp,6.16E-6,$0.102491,"$15,978,400"
123,SNM,SONM,1.051E-5,$0.174789,"$3,026,150"
124,YOYOW,YOYOW,1.776E-5,$0.295381,"$41,008,500"
125,VIA,Viacoin,0.00016241,$2.70219,"$1,493,640"
126,QRL,Quantum Resistant Ledger,7.102E-5,$1.18103,"$1,186,850"
127,PEPECASH,Pepe Cash,5.17E-6,$0.0860199,"$1,006,000"
128,1ST,FirstBlood,4.233E-5,$0.70434,"$8,240,320"
129,RISE,Rise,3.179E-5,$0.528965,"$9,272,810"
130,INK,Ink,1.956E-5,$0.325298,"$111,929,000"
131,FAIR,FairCoin,6.449E-5,$1.073,"$153,202"
132,AGRS,Agoras Tokens,8.048E-5,$1.33905,"$975,488"
133,EDO,Eidoo,0.00015466,$2.57176,"$2,835,050"
134,MER,Mercury,3.237E-5,$0.538641,"$2,040,660"
135,NMC,Namecoin,0.00021471,$3.57245,"$1,470,760"
136,WINGS,Wings,3.525E-5,$0.586496,"$1,827,900"
137,TRST,WeTrust,3.402E-5,$0.565983,"$1,544,250"
138,OTN,Open Trading Network,0.00067384,$11.2051,"$157,835"
139,KIN,Kin,4.0E-9,$6.80021E-5,"$170,220"
140,AEON,Aeon,0.00020989,$3.49215,"$410,540"
141,SMART,SmartCash,6.82E-6,$0.113348,"$180,081"
142,EMC,Emercoin,7.23E-5,$1.2029,"$323,258"
143,MLN,Melon,0.00484406,$80.5968,"$933,146"
144,PLR,Pillar,1.264E-5,$0.210181,"$368,383"
145,VOX,Voxels,1.363E-5,$0.226838,"$7,511,750"
146,RDD,ReddCoin,1.0E-7,$0.00165475,"$1,090,550"
147,VEE,BLOCKv,2.11E-6,$0.0351384,"$265,395"
148,PAYX,Paypex,4.135E-5,$0.687622,"$15,428"
149,ENG,Enigma,3.778E-5,$0.628197,"$5,292,140"
150,IOC,I/O Coin,0.00016554,$2.7543,"$2,560,300"
151,CLOAK,CloakCoin,0.00052855,$8.79415,"$648,422"
152,KCS,KuCoin Shares,2.956E-5,$0.491611,"$717,931"
153,LBC,LBRY Credits,2.373E-5,$0.394901,"$14,115,700"
154,CFI,Cofound.it,8.08E-6,$0.134438,"$2,232,610"
155,XWC,WhiteCoin,1.039E-5,$0.172847,"$545,852"
156,NEBL,Neblio,0.00019711,$3.27773,"$307,034"
157,SPANK,SpankChain,8.28E-6,$0.137746,"$205,698"
158,TIX,Blocktix,6.069E-5,$1.00928,"$3,515,090"
159,DMD,Diamond,0.00094194,$15.6723,"$195,252"
160,ION,ION,0.00013151,$2.1881,"$1,407,060"
161,SIB,SIBCoin,0.00014966,$2.49011,"$401,381"
162,XBY,XTRABYTES,5.45E-6,$0.0907217,"$1,071,290"
163,WGR,Wagerr,1.28E-5,$0.212925,"$169,893"
164,CDT,CoinDash,4.1E-6,$0.0681564,"$2,328,010"
165,TAAS,TaaS,0.0002799,$4.65707,"$673,130"
166,DCN,Dentacoin,7.0E-9,$0.000116611,"$46,927"
167,DCT,DECENT,4.413E-5,$0.734284,"$925,371"
168,TNB,Time New Bank,2.0E-6,$0.033198,"$3,709,910"
169,AST,AirSwap,1.479E-5,$0.24595,"$5,916,950"
170,DPY,Delphy,7.785E-5,$1.29449,"$84,019"
171,AMB,Amber,1.5E-5,$0.249472,"$6,614,310"
172,XEL,Elastic,2.455E-5,$0.408236,"$3,374,940"
173,RMC,Russian Mining Coin,1.40139,$23303.4,"$410,647"
174,OK,OKCash,2.869E-5,$0.477315,"$4,260,120"
175,CRW,Crown,0.00012753,$2.12181,"$165,622"
176,TNT,Tierion,4.94E-6,$0.0821424,"$7,552,220"
177,ZSC,Zeusshield,1.76E-6,$0.0292066,"$1,107,570"
178,VRC,VeriCoin,6.628E-5,$1.10283,"$25,397,700"
179,SLS,SaluS,0.0019812,$32.9637,"$896,055"
180,ENJ,Enjin Coin,2.64E-6,$0.043839,"$1,412,170"
181,NLG,Gulden,5.54E-6,$0.0922585,"$431,403"
182,GRID,Grid+,5.059E-5,$0.841173,"$41,965"
183,XPA,XPlay,1.95E-6,$0.0324119,"$792,812"
184,MUE,MonetaryUnit,1.58E-5,$0.262923,"$2,744,340"
185,PRE,Presearch,1.22E-5,$0.202871,"$86,934"
186,HVN,Hive,5.04E-6,$0.0837544,"$1,291,320"
187,GCR,Global Currency Reserve,1.8E-5,$0.299502,"$3,064,310"
188,NMR,Numeraire,0.00139561,$23.2073,"$699,032"
189,BQ,bitqy,6.6E-7,$0.0110158,"$9,230"
190,ICOS,ICOS,0.00312966,$52.0424,"$82,021"
191,SAFEX,Safe Exchange Coin,8.3E-7,$0.013854,"$2,248,090"
192,GUP,Matchpool,2.383E-5,$0.39645,"$3,977,320"
193,MOD,Modum,9.714E-5,$1.61527,"$3,034,420"
194,TIPS,FedoraCoin,4.0E-9,$6.65392E-5,"$7,696"
195,TKN,TokenCard,7.458E-5,$1.24094,"$274,670"
196,ZNY,Bitzeny,2.321E-5,$0.386166,"$869,731"
197,BLK,BlackCoin,2.249E-5,$0.374203,"$1,313,460"
198,SHIFT,Shift,0.00014857,$2.47193,"$769,563"
199,BTX,Bitcore,0.00090414,$15.0348,"$1,702,620"
200,AMP,Synereo,2.065E-5,$0.343607,"$3,016,300"
201,DNT,district0x,2.82E-6,$0.0469313,"$4,386,020"
202,GRC,GridCoin,4.31E-6,$0.0717849,"$400,909"
203,OMNI,Omni,0.00298883,$49.729,"$329,967"
204,MDA,Moeda Loyalty Points,8.437E-5,$1.40299,"$1,660,400"
205,THC,HempCoin,7.18E-6,$0.119463,"$5,213,380"
206,HMQ,Humaniq,1.011E-5,$0.16804,"$1,917,380"
207,IXT,iXledger,4.566E-5,$0.759346,"$472,138"
